address,area,price
水晶国际-观音山,思明,2200
水晶国际-观音山,思明,2000
水晶国际-观音山,思明,1800
鑫塔水尚-观音山,思明,9900
观海澜庭-观音山,思明,6900
塔埔社区-观音山,思明,3100
岭兜佳园-软件园,思明,5000
水晶国际-观音山,思明,1600
源昌君悦山-莲前,思明,6900
源昌君悦山-莲前,思明,7500
源昌君悦山-莲前,思明,8000
湖滨南路-禾祥西路,思明,3200
源昌君悦山-莲前,思明,5700
源昌君悦山-莲前西路,思明,6850
源昌君悦山-莲前西路,思明,5690
万泰东方-槟榔东里,思明,2588
洪文大排档-莲前西路,思明,1750
瑞景商业广场-瑞景,思明,1658
瑞景商业广场-瑞景,思明,1680
嘉盛豪园-瑞景,思明,1700
瑞景商业广场-瑞景,思明,1658
凤头-环岛路,思明,1450
洪山柄北区-莲前西路,思明,1658
凤头-环岛路,思明,1100
凤头-环岛路,思明,1000
源昌君悦山-莲前西路,思明,7500
龙山居-莲前西路,思明,3900
龙山居-莲前西路,思明,3000
亿力琴园-厦禾路,思明,1800
万泰东方-观音山,思明,5300
观海澜庭-观音山,思明,5500
观海澜庭-观音山,思明,5800
万泰东方-观音山,思明,5400
万泰东方-观音山,思明,5400
万泰东方-观音山,思明,5600
鑫塔水尚-观音山,思明,9000
湖滨南路-湖滨南路,思明,4500
岭兜佳园-软件园,思明,1700
新景花园-软件园,思明,1400
紫荆园-金榜路,思明,3500
嘉盛豪园-瑞景,思明,1742
龙门世家-富山,思明,6500
舒心阳光公寓-莲前东路,思明,2500
舒心阳光公寓-瑞景,思明,1400
舒心阳光-瑞景,思明,1950
盘龙路安置房单间房屋出租-火车站,思明,900
中山路民宅-思明南路,思明,1000
文屏巷-文灶,思明,3500
海悦和居-观音山,思明,5200
担水巷-鹭江道,思明,1450
龙山山庄-莲前西路,思明,3300
海湾新城-湖滨北路,思明,3500
世贸商城-火车站,思明,4000
新港广场-白鹭洲路,思明,1300
利华苑-白鹭洲路,思明,6500
天湖苑-白鹭洲路,思明,4800
建东大厦-白鹭洲路,思明,6500
假日电子城-白鹭洲路,思明,2500
假日电子城-白鹭洲路,思明,3000
岭兜小区-前埔北区,思明,3300
岭兜一里-软件园,思明,2700
罗宾森璀璨新城二期-火车站,思明,3800
凯旋广场-金榜路,思明,4000
罗宾森璀璨新城二期-火车站,思明,3500
前埔北区一里-莲前东路,思明,3800
香港时代广场-中山路,思明,1700
何厝小区-观音山,思明,2500
海艺大厦-软件园,思明,2000
海艺大厦-软件园,思明,2000
岭兜一里-软件园,思明,3800
上东美地-软件园,思明,5900
岭兜佳园-软件园,思明,3700
绿家园-富山,思明,5500
罗宾森璀璨新城1期-火车站,思明,6500
湖滨四里-湖滨南路,思明,3600
莲花吕岭路安溪大厦（泰和花园站）-莲花五村,思明,1500
前埔软件园二期旁大洲国际龙郡-软件园,思明,3400
大同路-大同路,思明,1600
宝华花园-湖滨北路,思明,3000
锦绣广场-松柏,思明,6000
锦绣广场-松柏,思明,3200
宝华花园-湖滨北路,思明,3700
宝华花园-湖滨北路,思明,3000
后埔社单间550起租中孚花园站附近-瑞景,思明,500
实拍图】单间带厨卫.后埔社区-火车站,思明,500
金秋花园-仙岳路,思明,1300
源昌君悦山-莲前西路,思明,1300
嘉盛豪园-瑞景,思明,4200
文兴社-瑞景,思明,4600
墩仔家园-莲前,思明,3400
海峡国际社区二期-会展路,思明,4700
文兴东一里-前埔南区,思明,3300
新景花园-软件园,思明,3900
岭兜佳园-软件园,思明,2850
苏公馆-软件园,思明,1600
苏公馆-观音山,思明,1600
苏公馆-瑞景,思明,1600
苏公馆-软件园,思明,1600
都市新巢-莲前,思明,2700
香山海景苑-软件园,思明,3700
宝龙中心一期-嘉禾路,思明,4300
自然家园-火车站,思明,5999
国际文化大厦-富山,思明,3800
米兰春天-湖滨北路,思明,3400
米兰春天-湖滨北路,思明,3300
云顶至尊-瑞景,思明,18000
中山海景广场-中山路,思明,5000
禹洲华侨海景城-鹭江道,思明,6200
宝华花园思明-湖滨北路,思明,4000
宏益大厦-松柏,思明,5500
宏益大厦-松柏,思明,7200
国贸怡和园-松柏,思明,5500
嘉华大厦-长青路,思明,5000
岭兜小区新景花园岭兜一里岭兜二里岭兜佳园明发园明发城香山海景园何厝小区海艺大厦-软件园,思明,3800
新景花园-软件园,思明,3800
新景花园-软件园,思明,3700
尚青春公寓-东浦路,思明,1320
尚青春公寓-东浦路,思明,1540
尚青春国际公寓-东浦路,思明,975
明发园-前埔北区,思明,6000
嘉盛豪园-瑞景,思明,5600
海德花园-富山,思明,1600
联丰新城-瑞景,思明,3400
金磊花园-金鸡亭,思明,4200
都市新巢-莲前,思明,1500
都市新巢-莲前,思明,1500
豆仔苑-湖滨南路,思明,1650
轮船宿舍-禾祥西路,思明,3500
思明区瑞景嘉盛豪园旁洪山柄小区-瑞景,思明,2800
新景花园-软件园,思明,3700
瑞景公园-瑞景,思明,8300
都市新巢-莲前,思明,2700
香山海景苑-软件园,思明,4000
联发滨海名居-会展路,思明,6800
岭兜佳园小区-软件园,思明,3300
新景花园岭兜小区岭兜一里何厝小区香山海景苑岭兜二里岭兜佳园明发园明发城家家海景观音山宝龙一城-软件园,思明,3400
前埔北区一里-前埔北区,思明,2100
印刷厂宿舍-禾祥西路,思明,2400
岭兜二里-软件园,思明,3300
瑞丽花园-瑞景,思明,6500
民盛商厦-瑞景,思明,1398
实验幼儿园旁-中山路,思明,1200
南中广场旁-中山路,思明,600
卧龙晓城-莲前,思明,4300
国贸新城-前埔北区,思明,3000
前埔南区文兴一里-前埔北区,思明,3400
前埔北区一里-莲前东路,思明,3700
国贸汇景-前埔北区,思明,4800
华林绿景花园-莲前东路,思明,3600
侨福城二期-莲前东路,思明,4100
侨福城二期-莲前东路,思明,3200
福满山庄-瑞景,思明,2600
福满山庄-瑞景,思明,1600
新景花园-软件园,思明,3700
家家海景-软件园,思明,1500
新景花园-软件园,思明,3500
嘉滨里-松柏,思明,2800
永升花园-松柏,思明,6500
宝龙中心一期-嘉禾路,思明,4200
宝龙中心二期-嘉禾路,思明,4000
富贵楼-火车站,思明,1700
山木清华-莲前,思明,3800
新景花园-软件园,思明,3600
嘉盛豪园-瑞景,思明,4300
瑞景公园-瑞景,思明,6500
新景花园-观音山,思明,1500
罗宾森璀璨新城1期-火车站,思明,6500
罗宾森璀璨新城1期-火车站,思明,6800
新景花园-软件园,思明,3800
岭兜佳园小区-前埔南区,思明,2600
岭兜佳园小区-前埔南区,思明,2600
大洲国际龙郡-前埔北区,思明,3600
岭兜小区-软件园,思明,3300
香山海景苑-软件园,思明,1500
雍景湾-白城,思明,60000
海峡国际社区三期-会展路,思明,22000
海峡国际社区二期-会展路,思明,4100
联发滨海名居-会展路,思明,6600
联发滨海名居-会展路,思明,6300
新景花园-软件园,思明,3600
岭兜二里-前埔北区,思明,3500
大同路-大同路,思明,550
官邸大厦-火车站,思明,2300
中山海景广场-中山路,思明,1300
领秀中山-中山路,思明,2600
大同路382号小区-中山路,思明,1200
信和银湖天峰-湖滨北路,思明,7500
御景豪庭-建业路,思明,13000
东卉花园-白鹭洲路,思明,7000
卧龙晓城-莲前西路,思明,2800
故宫裕景-厦禾路,思明,8500
名汇广场-中山路,思明,2000
一代风华-仙岳路,思明,1699
嘉盛豪园-瑞景,思明,1500
金鸡亭花园小区-金鸡亭,思明,3000
四川大厦-嘉禾路,思明,3099
金鸡亭花园小区-金鸡亭,思明,2600
湖北大厦-松柏,思明,2600
湖北大厦-松柏,思明,2800
音乐家生活广场-松柏,思明,2100
金鸡亭花园-金鸡亭,思明,2700
裕发广场-富山,思明,2800
香榭园-莲前西路,思明,1700
思北路口银行中心-厦禾路,思明,2000
明发园-软件园,思明,4800
上东美地-软件园,思明,5500
东方时代-禾祥西路,思明,4600
宏益大厦-松柏,思明,4500
华天花园-嘉禾路,思明,6900
都市新巢-莲前,思明,3000
瑞丽花园-瑞景,思明,8500
瑞景公园-瑞景,思明,3400
岭兜佳园-软件园,思明,3200
岭兜小区-软件园,思明,3200
华瑞花园二期-瑞景,思明,11000
嘉盛豪园-瑞景,思明,1200
前埔北区一里-前埔北区,思明,4300
华瑞花园-莲前东路,思明,5000
云景花园-瑞景,思明,6500
福满山庄-瑞景,思明,5300
瑞景公园-瑞景,思明,8500
罗宾森广场二期-厦禾路,思明,5900
筼筜书院-文园路,思明,6500
坑内路-文园路,思明,2800
坑内路-文园路,思明,3000
坑内小区-文园路,思明,6000
君悦山-莲前西路,思明,1400
营平社区-白城,思明,1100
紫荆园-金榜路,思明,2500
益泰大厦-火车站,思明,3999
嘉盛豪园-莲前东路,思明,1300
嘉盛豪园-瑞景,思明,4900
嘉盛豪园-瑞景,思明,6000
前埔北区一里-莲前东路,思明,3500
前埔北区二里-前埔北区,思明,3800
嘉盛豪园G组团-瑞景,思明,4000
嘉盛豪园-瑞景,思明,4000
前埔北区二里-前埔北区,思明,3900
侨福城二期-莲前东路,思明,4800
岭兜小区-软件园,思明,3600
香山海景苑-软件园,思明,2900
能群大厦-富山,思明,5600
裕发广场-富山,思明,2700
福满山庄-瑞景,思明,5500
华林花园三期-前埔南区,思明,5200
福满山庄-瑞景,思明,5500
华瑞花园-莲前东路,思明,5000
建群雅苑-莲前东路,思明,4200
台亚大厦-松柏,思明,4800
宝龙中心一期-嘉禾路,思明,4200
台亚大厦-莲花一村,思明,4800
锦绣广场-松柏,思明,5800
锦绣广场-松柏,思明,5800
山木清华-莲前,思明,2800
罗宾森璀璨新城二期-火车站,思明,3500
罗宾森璀璨新城1期-火车站,思明,6800
罗宾森璀璨新城1期-火车站,思明,7500
侨福城-瑞景,思明,4200
嘉盛豪园-瑞景,思明,6800
文兴社小区-莲前东路,思明,3000
嘉盛豪园-瑞景,思明,1400
福满山庄-瑞景,思明,5500
金象嘉园-禾祥东路,思明,6000
龙景台-禾祥东路,思明,6000
东方巴黎-金榜路,思明,4600
瑞丽花园-瑞景,思明,5700
希望大厦-禾祥西路,思明,3800
防疫站宿舍-湖滨南路,思明,4200
湖滨名宫-白鹭洲路,思明,5000
建东大厦-白鹭洲路,思明,8500
岭兜一里-软件园,思明,2800
岭兜佳园-软件园,思明,2900
大洲国际龙郡-软件园,思明,1800
岭兜二里-软件园,思明,3600
何厝小区-会展路,思明,4000
何厝小区-前埔南区,思明,3000
古歌蔡塘de家-软件园,思明,1400
古歌蔡塘de家-观音山,思明,1600
古歌蔡塘de家-软件园,思明,1650
古歌蔡塘de家-软件园,思明,1650
墩仔家园-莲前,思明,2800
禹洲花园-莲前西路,思明,2800
禹洲花园-莲前西路,思明,2300
明发商城-金鸡亭,思明,3200
新景花园-软件园,思明,2700
碧海晴空-软件园,思明,1900
岭兜佳园-软件园,思明,3700
岭兜二里-软件园,思明,3800
岭兜佳园-软件园,思明,2500
岭兜二里-前埔北区,思明,3600
新景花园-软件园,思明,3500
新景花园-软件园,思明,3500
岭兜佳园小区-前埔南区,思明,2900
前埔南小区店上西里-前埔南区,思明,4800
建达花园-文灶,思明,3300
侨福城二期-莲前东路,思明,4800
至尊门第-会展路,思明,8000
北洪山柄-瑞景,思明,4000
百源双玺-厦禾路,思明,3100
九龙城-厦禾路,思明,2300
文兴东二里-前埔南区,思明,3000
福满山庄-瑞景,思明,4200
都市新巢小区-瑞景,思明,2300
文兴社小区-莲前东路,思明,3000
岭兜二里-软件园,思明,3200
岭兜佳园小区-软件园,思明,2200
罗宾森-火车站,思明,1000
金辉园-湖滨南路,思明,5500
红杏花园-富山,思明,4200
假日花园-厦禾路,思明,5600
自然家园-火车站,思明,5000
新景禾祥高峰会-禾祥西路,思明,9500
自然家园-火车站,思明,4800
罗宾森璀璨新城1期-火车站,思明,5000
金领广场-湖滨东路,思明,5400
林海阳光-东浦路,思明,4400
源昌君悦山-富山,思明,6000
源昌君悦山-富山,思明,7000
禹洲世贸国际-火车站,思明,5500
厦门千禧园-厦禾路,思明,6700
国贸春天-湖滨中路,思明,9000
时尚国际-火车站,思明,4800
卧龙晓城-莲前西路,思明,3500
华林花园三期-Null,思明,4200
华林花园三期-Null,思明,4000
侨福城3期-莲前西路,思明,3500
青檬公寓-软件园,思明,1380
前埔南小区店上西里-前埔南区,思明,4500
岭兜小区-软件园,思明,4000
侨福城二期-莲前东路,思明,4800
前埔北区一里-前埔北区,思明,4300
岭兜小区-软件园,思明,3600
岭兜佳园小区-软件园,思明,3500
自然家园-火车站,思明,5500
罗宾森璀璨新城二期-火车站,思明,5000
湖滨四里-湖滨南路,思明,3600
百源双玺-厦禾路,思明,4000
信和上筑-嘉禾路,思明,4900
怡祥花园-松柏,思明,4800
毅宏公寓-莲前,思明,5300
卧龙晓城-莲前西路,思明,5500
卧龙晓城二期-莲前,思明,4500
山木清华-莲前,思明,3700
岭兜佳园-前埔北区,思明,3200
岭兜佳园-软件园,思明,2800
明发园-瑞景,思明,4000
何厝小区-会展路,思明,2800
联丰新城-瑞景,思明,6800
嘉盛豪园小区-莲前东路,思明,1300
珍珠湾花园二期-白城,思明,48000
嘉盛豪园-瑞景,思明,4700
东方瑞士-禾祥东路,思明,2000
古龙商城-禾祥西路,思明,2100
金峰山庄-文灶,思明,13500
新景花园-软件园,思明,4100
岭兜二里岭兜小区岭兜一里何厝小区岭兜佳园明发园明发城碧海晴空新景花园-软件园,思明,2800
岭兜佳园小区-前埔南区,思明,3600
岭兜小区-前埔北区,思明,3700
海艺大厦-软件园,思明,2200
故宫裕景-厦禾路,思明,2500
故宫裕景-厦禾路,思明,3800
裕发广场-富山,思明,2500
罗马假日-富山,思明,3300
官任小区-白鹭洲路,思明,1600
官任小区-白鹭洲路,思明,1500
建兴小区-白城,思明,2800
御景豪庭-建业路,思明,2400
武夷嘉园-白鹭洲路,思明,8000
源昌君悦山-莲前西路,思明,1650
禾祥西印刷厂宿舍-故宫路,思明,4380
联发滨海名居-会展路,思明,6000
联发滨海名居-会展路,思明,8900
海峡国际社区一期-会展路,思明,8000
海峡国际社区四期-会展路,思明,4500
海峡国际社区一期-会展路,思明,9000
中山海景广场-中山路,思明,3900
假日香港广场-思明北路,思明,1600
假日香港广场-厦禾路,思明,3500
明发商城-金鸡亭,思明,3200
金鸡亭-金鸡亭,思明,3000
金沙花园-莲前,思明,4300
鸿禧花园-莲花五村,思明,4600
岭兜小区-软件园,思明,3180
岭兜佳园-软件园,思明,3300
华林绿景花园-莲前东路,思明,4800
嘉盛豪园-瑞景,思明,5000
嘉盛豪园-瑞景,思明,4500
海峡国际社区二期-会展路,思明,4300
禹洲华侨海景城-鹭江道,思明,1700
华林紫薇花园-莲前东路,思明,3500
英皇湖畔华庭-松柏,思明,4500
英皇湖畔花苑-松柏,思明,5800
宝达大厦-嘉禾路,思明,3500
宝华花园-湖滨北路,思明,4200
莲坂西小区-富山,思明,3400
都市新巢-莲前,思明,2700
文园路警备区-文园路,思明,4300
北洪山柄-瑞景,思明,4000
禹洲云顶国际-莲前西路,思明,5700
嘉盛豪园-瑞景,思明,1800
橡胶新村-文园路,思明,2600
罗宾森广场-厦禾路,思明,7500
罗宾森广场二期-厦禾路,思明,3300
假日香港广场-厦禾路,思明,3900
假日香港广场-厦禾路,思明,4200
假日香港广场-厦禾路,思明,3900
中国铁建海曦-观音山,思明,5500
嘉盛豪园-瑞景,思明,4000
嘉盛豪园-瑞景,思明,4100
侨福城-瑞景,思明,3400
福满山庄-瑞景,思明,3600
东芳山庄-槟榔东里,思明,25000
嘉盛豪园-瑞景,思明,1500
罗宾森广场二期-厦禾路,思明,4600
山木清华-莲前,思明,2600
卧龙晓城-莲前西路,思明,3500
卧龙晓城二期-莲前,思明,4700
云亭花园-金鸡亭,思明,4600
前埔北农贸市场小区-前埔北区,思明,2700
万寿花园-文园路,思明,5000
万寿新城-文园路,思明,3000
万寿新城-文园路,思明,3000
万寿花园-文园路,思明,5000
塔埔社区东区-观音山,思明,3400
华林紫微花园-莲前东路,思明,3800
华天花园-嘉禾路,思明,5900
英皇湖畔花苑-松柏,思明,5900
宝龙中心-莲花一村,思明,4900
宝华花园-湖滨北路,思明,2900
永升花园-松柏,思明,5200
新景花园-软件园,思明,3400
岭兜二里-软件园,思明,3300
江头长青K小区-松柏,思明,2700
宝龙中心一期-嘉禾路,思明,3000
莲坂小区-长青路,思明,3100
联谊广场-槟榔东里,思明,3800
瑞景公园-瑞景,思明,9200
自然家园-火车站,思明,2000
一代风华-松柏,思明,1900
一代风华-松柏,思明,1800
摩登时代大厦-嘉禾路,思明,2400
米兰春天-湖滨北路,思明,3000
禹洲世贸国际-火车站,思明,2900
九龙城-厦禾路,思明,2600
侨福城二期-莲前东路,思明,3350
禹州世贸国际-厦禾路,思明,3200
裕发广场-富山,思明,2400
源昌商业中心-富山,思明,8500
瑞丽花园-瑞景,思明,8500
鹭江新城-莲花三村,思明,4300
禹州世贸国际-厦禾路,思明,3100
禹州世贸国际-厦禾路,思明,4000
建设大厦-厦禾路,思明,5200
东方时代广场-禾祥西路,思明,3200
故宫裕景-厦禾路,思明,3900
先锋营小区-中山路,思明,1700
故宫小区-故宫路,思明,1700
中信广场-湖滨北路,思明,5500
米兰春天-湖滨北路,思明,3900
国际文化大厦-富山,思明,3600
岭兜佳园-软件园,思明,1700
新景花园-软件园,思明,2600
瑞景商业广场-瑞景,思明,3400
九龙城-厦禾路,思明,1150
嘉盛豪园-瑞景,思明,4500
故宫裕景-厦禾路,思明,3700
故宫裕景-厦禾路,思明,4000
怡祥花园-松柏,思明,1899
国贸怡河园-松柏,思明,7999
鑫塔水尚-观音山,思明,11000
御景苑-湖滨西路,思明,1600
福满山庄-瑞景,思明,2000
广景花园-东浦路,思明,1600
海峡国际社区一期-会展路,思明,6500
海峡国际社区二期-会展路,思明,4400
海峡国际社区一期-会展路,思明,20000
海峡国际社区四期-会展路,思明,6500
联发滨海名居-会展路,思明,6500
山木清华-莲前,思明,4200
卧龙晓城-槟榔东里,思明,4700
金鸡亭-金鸡亭,思明,3700
金鸡亭-金鸡亭,思明,3200
山木清华-莲前,思明,2900
中山海景广场-中山路,思明,1500
中山海景广场-中山路,思明,2500
香港广场-思明北路,思明,3700
假日香港广场-厦禾路,思明,4500
假日香港广场-思明北路,思明,4350
联邦广场-禾祥西路,思明,2200
罗宾森璀璨新城二期-火车站,思明,5800
罗宾森璀璨新城二期-火车站,思明,3600
罗宾森璀璨新城1期-火车站,思明,4300
新景花园-软件园,思明,4000
新景花园-软件园,思明,4500
罗宾森璀璨新城1期-火车站,思明,5500
罗宾森璀璨新城1期-火车站,思明,3700
侨福城3期-莲前东路,思明,3600
嘉盛豪园-莲前东路,思明,6000
卧龙晓城-莲前西路,思明,4300
家家海景-前埔北区,思明,4500
香山海景苑-软件园,思明,4500
文秀阁-文园路,思明,3200
罗宾森-火车站,思明,800
香山海景苑-前埔南区,思明,6800
新景花园-软件园,思明,3500
软件园二期-软件园,思明,3300
华林东盛花园二期-前埔北区,思明,4400
软件园二期-软件园,思明,11000
香港广场-思明北路,思明,4500
卧龙晓城-莲前西路,思明,3000
单位宿舍-禾祥西路,思明,1000
卧龙晓城-莲前西路,思明,4200
山木清华-莲前,思明,2900
裕发广场-富山,思明,2998
米兰春天-湖滨北路,思明,3900
湖滨名宫-白鹭洲路,思明,7800
恒滨名宫-白鹭洲路,思明,4300
大正大厦-白鹭洲路,思明,5000
岭兜佳园小区-前埔南区,思明,2600
明发园-前埔北区,思明,2300
岭兜小区-前埔北区,思明,3700
国贸汇景-前埔北区,思明,5500
金鸡亭花园-金鸡亭,思明,3200
罗宾森广场-厦禾路,思明,6800
禹州世贸国际-厦禾路,思明,4200
禹州世贸国际-厦禾路,思明,3500
前埔北区一里-莲前东路,思明,3800
云亭花园-金鸡亭,思明,4600
卧龙晓城-槟榔东里,思明,3600
金鸡亭-金鸡亭,思明,3400
卧龙晓城-莲前西路,思明,5500
源昌广场-禾祥东路,思明,4300
明发商城-莲前西路,思明,3200
厦航宿舍-瑞景,思明,4500
都市新巢-莲前,思明,2700
文屏巷-文灶,思明,2700
嘉盛豪园-瑞景,思明,4500
嘉盛豪园-瑞景,思明,7200
罗宾森广场二期-厦禾路,思明,4300
罗宾森广场二期-厦禾路,思明,3800
华年屯-槟榔东里,思明,4000
协成通商大厦-鹭江道,思明,6800
假日香港广场-思明北路,思明,3700
卧龙晓城-莲前西路,思明,4400
嘉盛豪园-瑞景,思明,4300
山木清华-莲前,思明,3500
海峡国际社区二期-会展路,思明,6200
金鸡亭花园小区-金鸡亭,思明,3600
假日香港广场-思明北路,思明,5500
老虎城-中山路,思明,2400
假日香港广场-思明北路,思明,4200
山木清华-莲前,思明,4300
前埔北区一里-莲前东路,思明,3800
金鸡亭花园-金鸡亭,思明,3100
新景花园-软件园,思明,3000
海艺大厦-软件园,思明,2200
明发园-软件园,思明,2200
华林东盛二期-莲前东路,思明,4300
岭兜二里-软件园,思明,3000
盘古社区-软件园,思明,1650
罗宾森广场-厦禾路,思明,5500
南洋大厦-禾祥东路,思明,6800
卧龙晓城-莲前西路,思明,4600
华林紫薇花园-莲前东路,思明,3800
联丰新城-瑞景,思明,4800
中山海景广场-中山路,思明,1050
中山海景广场-中山路,思明,1000
大同路-中山路,思明,2300
国贸金海岸-鹭江道,思明,8500
云亭花园-莲前,思明,3500
金鸡亭-金鸡亭,思明,2900
莲福阁-莲前,思明,2700
夏商宿舍-莲前西路,思明,3000
山木清华-莲前,思明,4200
侨福城小区三期-莲前东路,思明,4200
云亭花园-莲前,思明,4200
岭兜小区-前埔北区,思明,3600
嘉盛豪园-瑞景,思明,4800
嘉盛豪园-瑞景,思明,5900
嘉盛豪园-瑞景,思明,6000
海湾新城-湖滨北路,思明,4800
武夷嘉园-白鹭洲路,思明,4800
金桥园-湖滨北路,思明,5800
金星大厦-长青路,思明,1900
米兰春天-湖滨北路,思明,3400
华天花园-嘉禾路,思明,4800
华天花园-嘉禾路,思明,2900
信和中央广场-嘉禾路,思明,4000
华天花园-嘉禾路,思明,5800
宝华花园-湖滨北路,思明,4200
摩登时代大厦-嘉禾路,思明,2000
华林紫薇-白城,思明,3000
英皇湖畔花苑-松柏,思明,4999
瑞景生活广场-瑞景,思明,4200
怡祥大厦-松柏,思明,4000
九龙城-厦禾路,思明,1000
湖北大厦-松柏,思明,2600
禾祥首府（思明苑二期）-禾祥西路,思明,3600
米兰春天-湖滨北路,思明,2900
汇丰家园-文灶,思明,2800
禾祥首府（思明苑二期）-禾祥西路,思明,3300
摩登时代大厦-嘉禾路,思明,2200
米兰春天-湖滨北路,思明,3199
一代风华-松柏,思明,1700
摩登时代大厦-嘉禾路,思明,2700
米兰春天-湖滨北路,思明,3100
摩登时代-仙岳路,思明,2600
摩登时代-仙岳路,思明,2800
太平洋广场北楼-嘉禾路,思明,1800
太平洋广场北楼-嘉禾路,思明,1700
湖北大厦-松柏,思明,2800
米兰春天-湖滨北路,思明,3000
四川大厦-筼筜路,思明,3100
汇丰家园-文灶,思明,3400
新景花园-软件园,思明,2700
岭兜一里-软件园,思明,3200
官邸大厦-厦禾路,思明,2600
一代风华-松柏,思明,1800
一代风华-松柏,思明,1800
摩登时代大厦-嘉禾路,思明,2500
摩登时代大厦-嘉禾路,思明,2600
火车站禹州世贸-火车站,思明,3200
九龙城-厦禾路,思明,2700
摩登时代-仙岳路,思明,2500
米兰春天-湖滨北路,思明,3100
禾祥首府（思明苑二期）-禾祥西路,思明,3300
文兴东二里-前埔南区,思明,2200
东芳山庄-槟榔东里,思明,15000
故宫小区-故宫路,思明,3200
故宫小区-故宫路,思明,15000
源通中心-厦禾路,思明,2500
明发园-前埔北区,思明,1900
海峡国际社区二期-会展路,思明,6300
海峡国际社区四期-会展路,思明,7000
海峡国际社区三期-会展路,思明,32000
海峡国际社区二期-会展路,思明,4300
前埔北区一里-前埔北区,思明,3300
水晶国际-观音山,思明,3600
复兴世纪-富山,思明,5500
莲富大厦-富山,思明,900
罗宾森璀璨新城1期-火车站,思明,1700
罗宾森璀璨新城1期-火车站,思明,1300
新景花园-软件园,思明,3000
米兰春天-湖滨北路,思明,3900
米兰春天-湖滨北路,思明,3900
仙岳嘉园-松柏,思明,1400
华林紫薇花园-莲前东路,思明,3500
新景花园-软件园,思明,2600
岭兜佳园-软件园,思明,2500
岭兜一里-软件园,思明,4500
碧海晴空-软件园,思明,2600
软件园二期-软件园,思明,1800
软件园二期-软件园,思明,2900
建发花园二期-火车站,思明,2000
嘉盛豪园-瑞景,思明,4100
嘉盛豪园二期-瑞景,思明,4500
前埔南小区-前埔南区,思明,4600
卧龙晓城东芳山庄-软件园,思明,720
东芳山庄-莲前,思明,720
卧龙晓城-槟榔东里,思明,4700
金沙花园-莲前西路,思明,4300
鸿禧花园-莲花五村,思明,4600
卧龙晓城-槟榔东里,思明,3500
海峡国际社区二期-会展路,思明,4300
